"Año","Mes","Dia","Fecha","Tｰ Media","TｰMaxima","TｰMinima","Lluvia","%Humedad"
"2013","Ene","1","1/1/2013","12.038","18.022","7.344","0.956","73.676"
"2013","Ene","2","1/2/2013","12.224","18","8.078","3.6","74.553"
"2013","Ene","3","1/3/2013","11.902","17.822","7.667","9.933","76.719"
"2013","Ene","4","1/4/2013","10.906","16.778","7.122","8.8","79.117"
"2013","Ene","5","1/5/2013","11.146","16.267","7.211","4.956","79.746"
"2013","Ene","6","1/6/2013","11.648","17.522","7.489","1.689","77.69"
"2013","Ene","7","1/7/2013","11.943","17.922","7.444","4.178","74.577"
"2013","Ene","8","1/8/2013","11.636","17.967","6.933","6.711","77.404"
"2013","Ene","9","1/9/2013","11.574","17.767","7.367","4.289","77.727"
"2013","Ene","10","1/10/2013","11.369","17.589","6.767","8.933","77.086"
"2013","Ene","11","1/11/2013","11.722","18.344","6.611","4.311","74.988"
"2013","Ene","12","1/12/2013","11.576","18.222","6.856","7.756","74.413"
"2013","Ene","13","1/13/2013","11.831","17.48","7.26","0.94","74.6"
"2013","Ene","14","1/14/2013","11.896","17.71","7.04","4.04","73.611"
"2013","Ene","15","1/15/2013","12.022","17.82","7.69","2.62","74.324"
"2013","Ene","16","1/16/2013","12.076","18.367","7.733","2.422","74.749"
"2013","Ene","17","1/17/2013","11.447","17.644","7.189","6.378","76.331"
"2013","Ene","18","1/18/2013","11.645","17.3","7.76","6.98","76.542"
"2013","Ene","19","1/19/2013","11.88","17.92","7.4","4.08","75.765"
"2013","Ene","20","1/20/2013","11.371","17","7.05","10.24","78.112"
"2013","Ene","21","1/21/2013","11.742","16.84","8.36","4.52","78.592"
"2013","Ene","22","1/22/2013","11.886","18.32","7.89","4.24","76.423"
"2013","Ene","23","1/23/2013","12.182","18.21","7.94","2.58","76.081"
"2013","Ene","24","1/24/2013","12.299","18.02","8.14","4.26","74.949"
"2013","Ene","25","1/25/2013","12.23","18.9","7.46","8.5","73.384"
"2013","Ene","26","1/26/2013","12.133","18","8.03","4.4","76.26"
"2013","Ene","27","1/27/2013","11.877","17.67","7.01","4.88","76.495"
"2013","Ene","28","1/28/2013","12.155","17.76","8.28","4.84","76.334"
"2013","Ene","29","1/29/2013","12.026","17.61","8.02","2.52","75.881"
"2013","Ene","30","1/30/2013","11.654","17.3","7.64","4.26","78.309"
"2013","Ene","31","1/31/2013","11.574","17.18","7.9","6.12","78.996"
"2013","Feb","1","2/1/2013","11.396","16.48","7.86","5.96","80.572"
"2013","Feb","2","2/2/2013","11.92","17.4","8.22","4","77.428"
"2013","Feb","3","2/3/2013","11.661","16.76","7.91","4.54","78.497"
"2013","Feb","4","2/4/2013","12.254","18.09","8.06","3.62","74.519"
"2013","Feb","5","2/5/2013","11.919","18.06","7.96","3.44","77.519"
"2013","Feb","6","2/6/2013","12.078","17.66","7.88","2.92","77.241"
"2013","Feb","7","2/7/2013","11.416","16.83","8.29","6.84","80.953"
"2013","Feb","8","2/8/2013","11.466","16.06","7.86","6.84","80.697"
"2013","Feb","9","2/9/2013","11.798","17.08","8.14","4.34","79.231"
"2013","Feb","10","2/10/2013","11.631","16.99","7.99","6.14","80.794"
"2013","Feb","11","2/11/2013","11.951","16.78","8.47","5.64","78.43"
"2013","Feb","12","2/12/2013","11.335","16.47","7.97","5.62","80.335"
"2013","Feb","13","2/13/2013","11.727","17.28","7.99","6.02","78.632"
"2013","Feb","14","2/14/2013","11.869","17.53","7.99","1.4","78.407"
"2013","Feb","15","2/15/2013","12.081","17.58","8.27","4.28","78.503"
"2013","Feb","16","2/16/2013","11.949","17.67","8.32","6.12","79.015"
"2013","Feb","17","2/17/2013","11.569","17.52","7.42","7","78.96"
"2013","Feb","18","2/18/2013","11.716","17.33","7.84","2.54","77.736"
"2013","Feb","19","2/19/2013","12.424","18.83","7.78","3","74.644"
"2013","Feb","20","2/20/2013","11.894","17.44","7.89","3.9","77.644"
