Año,Mes,Fecha,Tｰ Media,TｰMaxima,TｰMinima,Lluvia,%Humedad
1986,Ene,1986-01,11.4,17.3,5.4,100.1,
1986,Feb,1986-02,11.4,17.2,5.6,152.1,
1986,Mar,1986-03,11.6,17.6,5.5,115.8,
1986,Abr,1986-04,10,17.2,2.9,44.8,
1986,May,1986-05,7.5,17.4,-2.5,18.7,
1986,Jun,1986-06,5.9,17.5,-5.6,0,
1986,Jul,1986-07,6.3,17.3,-4.7,0,
1986,Ago,1986-08,7.5,17.4,-2.5,0,
1986,Set,1986-09,9.1,17.5,0.6,0,
1986,Oct,1986-10,9.4,17.5,1.2,24.8,
1986,Nov,1986-11,9.4,17.9,1,62.5,
1986,Dic,1986-12,10.2,17.8,2.5,80.8,
1987,Ene,1987-01,10.9,17.3,4.4,190.1,
1987,Feb,1987-02,11.9,18.2,5.5,134.2,
1986,Ene,1987-03,11.4,19,3.8,73.2,
1986,Feb,1987-04,11,19.9,2.1,0,
1986,Mar,1987-05,8.4,19.6,-2.9,0,
1986,Abr,1987-06,7.1,19.8,-5.6,,
1986,May,1987-07,6.6,19.3,-6.2,33.4,
1986,Jun,1987-08,8.3,19.7,-3.1,0,
1986,Jul,1987-09,10.5,19.7,1.4,0,
1986,Ago,1987-10,11.2,20.3,2.3,25.2,
1986,Set,1987-11,12.3,20.2,4.3,100.6,
1986,Oct,1987-12,12.7,20.7,4.6,165,
1986,Nov,1988-01,12,19.7,4.3,223.3,
1986,Dic,1988-02,12.5,20.5,4.5,138.5,
1987,Ene,1988-03,12.2,20,4.3,241.5,
1987,Feb,1988-04,12.1,20.1,4.2,93.6,
,,1988-05,10.5,20.4,0.6,0,
,,1988-06,8.5,20.5,-3.5,0,
,,1988-07,9.2,19.9,-2,0,
,,1988-08,8,19.8,-3.7,0,
,,1988-09,10.7,19.1,2.2,0,
,,1988-10,11.9,20.2,3.6,8.1,
,,1988-11,12.1,20.6,3.4,43,
,,1988-12,12,20.4,3.5,107.3,
,,1989-01,11.5,19.1,3.8,191.3,
,,1989-02,11.9,19.5,4.3,97.6,
,,1989-03,11,18.1,3.8,136.4,
,,1989-04,11.1,18.8,3.3,30.2,
,,1989-05,10.2,18.8,1.7,26.3,
,,1989-06,7.8,18.5,-2.8,0,
,,1989-07,7.5,18.3,-3.3,0,
,,1989-08,7.5,18.8,-3.7,4.4,
,,1989-09,8.9,18.6,-0.8,6.1,
,,1989-10,11,19.5,2.5,24.2,
,,1989-11,11,19.3,2.8,50,
,,1989-12,10.9,18.6,3.2,34.9,
,,1990-01,11.1,18.2,4.1,129.8,
,,1990-02,11.2,19.3,3.1,59.3,
,,1990-03,10.9,19.5,2.4,24.6,
,,1990-04,9.1,19.3,-1.2,3.2,
,,1990-05,8.5,18.7,-1.8,0,
,,1990-06,8.5,18.1,-1.1,36.6,
