Año,Mes,Dia,Fecha,Tｰ Media,TｰMaxima,TｰMinima,Lluvia,%Humedad,Evapotransp,Pto rocio,RadSolar,EnerSolar,PresionBarom
2013,Ene,1,1/1/2013,12.038,18.022,7.344,0.956,73.676,3.47,7.068,223.671,11.106,672.271
2013,Ene,2,1/2/2013,12.224,18,8.078,3.6,74.553,3.617,7.542,227.862,12.454,672.056
2013,Ene,3,1/3/2013,11.902,17.822,7.667,9.933,76.719,3.401,7.641,225.437,11.392,672.143
2013,Ene,4,1/4/2013,10.906,16.778,7.122,8.8,79.117,2.768,7.189,191.076,9.652,672.91
2013,Ene,5,1/5/2013,11.146,16.267,7.211,4.956,79.746,2.714,7.564,184.253,9.819,673.016
2013,Ene,6,1/6/2013,11.648,17.522,7.489,1.689,77.69,2.979,7.644,195.417,10.946,672.54
2013,Ene,7,1/7/2013,11.943,17.922,7.444,4.178,74.577,3.483,7.234,227.828,12.48,672.483
2013,Ene,8,1/8/2013,11.636,17.967,6.933,6.711,77.404,3.388,7.484,228.88,12.107,672.374
2013,Ene,9,1/9/2013,11.574,17.767,7.367,4.289,77.727,3.392,7.543,232.09,13.459,672.197
2013,Ene,10,1/10/2013,11.369,17.589,6.767,8.933,77.086,3.463,7.218,232.97,12.179,672.687
2013,Ene,11,1/11/2013,11.722,18.344,6.611,4.311,74.988,3.973,7.092,269.846,15.539,672.801
2013,Ene,12,1/12/2013,11.576,18.222,6.856,7.756,74.413,3.751,6.849,245.927,12.874,672.811
2013,Ene,13,1/13/2013,11.831,17.48,7.26,0.94,74.6,3.444,7.157,232.001,10.508,656.294
2013,Ene,14,1/14/2013,11.896,17.71,7.04,4.04,73.611,3.726,6.805,248.102,13.444,655.764
2013,Ene,15,1/15/2013,12.022,17.82,7.69,2.62,74.324,3.397,7.268,224.748,11.896,655.452
2013,Ene,16,1/16/2013,12.076,18.367,7.733,2.422,74.749,3.882,7.393,250.9,13.83,672.3
2013,Ene,17,1/17/2013,11.447,17.644,7.189,6.378,76.331,3.298,7.166,220.736,12.292,672.943
2013,Ene,18,1/18/2013,11.645,17.3,7.76,6.98,76.542,3.049,7.405,209.076,10.93,656.493
2013,Ene,19,1/19/2013,11.88,17.92,7.4,4.08,75.765,3.744,7.461,253.335,13.03,656.418
2013,Ene,20,1/20/2013,11.371,17,7.05,10.24,78.112,3.069,7.4,212.856,11.166,656.342
2013,Ene,21,1/21/2013,11.742,16.84,8.36,4.52,78.592,3.024,7.932,202.735,10.616,656.039
2013,Ene,22,1/22/2013,11.886,18.32,7.89,4.24,76.423,3.758,7.584,253.096,13.487,655.894
2013,Ene,23,1/23/2013,12.182,18.21,7.94,2.58,76.081,3.665,7.731,245.933,13.28,656.019
2013,Ene,24,1/24/2013,12.299,18.02,8.14,4.26,74.949,3.657,7.627,241.019,13.085,655.421
2013,Ene,25,1/25/2013,12.23,18.9,7.46,8.5,73.384,4.248,7.148,279.96,15.393,655.19
2013,Ene,26,1/26/2013,12.133,18,8.03,4.4,76.26,3.623,7.711,242.585,12.091,655.203
2013,Ene,27,1/27/2013,11.877,17.67,7.01,4.88,76.495,3.528,7.566,229.685,11.065,655.703
2013,Ene,28,1/28/2013,12.155,17.76,8.28,4.84,76.334,3.189,7.865,211.73,11.485,655.271
2013,Ene,29,1/29/2013,12.026,17.61,8.02,2.52,75.881,3.283,7.647,216.874,10.839,655.064
2013,Ene,30,1/30/2013,11.654,17.3,7.64,4.26,78.309,2.99,7.79,203.479,11.654,655.4
2013,Ene,31,1/31/2013,11.574,17.18,7.9,6.12,78.996,3.041,7.832,201.265,11.015,655.827
2013,Feb,1,2/1/2013,11.396,16.48,7.86,5.96,80.572,2.86,7.974,198.605,10.664,656.212
2013,Feb,2,2/2/2013,11.92,17.4,8.22,4,77.428,3.269,7.809,222.161,12.642,656.273
2013,Feb,3,2/3/2013,11.661,16.76,7.91,4.54,78.497,3.175,7.737,215.77,13.392,655.975
2013,Feb,4,2/4/2013,12.254,18.09,8.06,3.62,74.519,3.752,7.524,249.101,13.824,655.274
2013,Feb,5,2/5/2013,11.919,18.06,7.96,3.44,77.519,3.166,7.897,214.9,11.893,655.216
2013,Feb,6,2/6/2013,12.078,17.66,7.88,2.92,77.241,3.551,7.956,234.329,12.806,655.498
2013,Feb,7,2/7/2013,11.416,16.83,8.29,6.84,80.953,2.562,8.106,173.521,8.939,655.366
2013,Feb,8,2/8/2013,11.466,16.06,7.86,6.84,80.697,2.622,8.113,179.736,9.12,655.778
2013,Feb,9,2/9/2013,11.798,17.08,8.14,4.34,79.231,2.975,8.147,200.788,10.595,655.512
2013,Feb,10,2/10/2013,11.631,16.99,7.99,6.14,80.794,2.724,8.273,188.89,9.411,655.453
2013,Feb,11,2/11/2013,11.951,16.78,8.47,5.64,78.43,2.854,8.124,195.594,8.949,655.891
2013,Feb,12,2/12/2013,11.335,16.47,7.97,5.62,80.335,2.723,7.926,186.708,9.741,656.142
2013,Feb,13,2/13/2013,11.727,17.28,7.99,6.02,78.632,3.048,7.942,204.232,10.923,655.903
2013,Feb,14,2/14/2013,11.869,17.53,7.99,1.4,78.407,3.066,7.968,208.196,10.52,655.816
2013,Feb,15,2/15/2013,12.081,17.58,8.27,4.28,78.503,3.185,8.161,215.169,10.458,655.82
2013,Feb,16,2/16/2013,11.949,17.67,8.32,6.12,79.015,3.195,8.207,213.772,9.987,655.642
2013,Feb,17,2/17/2013,11.569,17.52,7.42,7,78.96,3.048,7.796,207.456,9.367,655.912
2013,Feb,18,2/18/2013,11.716,17.33,7.84,2.54,77.736,2.939,7.71,195.722,11.129,655.75
2013,Feb,19,2/19/2013,12.424,18.83,7.78,3,74.644,3.808,7.58,251.418,13.833,654.909
2013,Feb,20,2/20/2013,11.894,17.44,7.89,3.9,77.644,3.251,7.84,221.029,11.867,654.625
2013,Feb,21,2/21/2013,11.49,17.18,8.06,6.6,79.107,2.956,7.733,202.563,10.954,655.747
2013,Feb,22,2/22/2013,12.021,17.86,7.89,2.12,76.853,3.55,7.824,231.786,10.629,656.168
2013,Feb,23,2/23/2013,12.285,18.3,8.1,2.44,77.483,3.669,8.191,247.35,11.655,655.937
2013,Feb,24,2/24/2013,12.145,18.38,8.33,6.04,77.918,3.51,8.158,235.818,11.079,655.835
2013,Feb,25,2/25/2013,12.073,18.54,7.73,6.08,75.813,3.761,7.572,253.42,13,655.705
2013,Feb,26,2/26/2013,11.671,17.31,7.46,2.9,77.243,3.364,7.556,226.177,11.449,655.997
2013,Feb,27,2/27/2013,11.656,17.36,7.95,6.66,79.137,2.985,7.944,201.265,9.931,656.276
2013,Feb,28,2/28/2013,12.347,18.14,8.13,2.58,76.996,3.585,8.125,240.121,11.899,656.005
2013,Mar,1,3/1/2013,12.387,19.06,7.53,6.4,75.849,4.7,7.922,256.001,12.928,655.759
2013,Mar,2,3/2/2013,12.497,19.2,7.82,2.66,74.112,4.426,7.71,241.048,11.711,655.408
2013,Mar,3,3/3/2013,11.945,18.68,6.73,3.22,75.083,4.238,7.345,225.083,11.43,655.524
2013,Mar,4,3/4/2013,11.879,18.14,7.42,7.04,76.929,4.087,7.712,226.748,11.781,655.786
2013,Mar,5,3/5/2013,11.528,17.24,7.22,8.38,79.221,3.59,7.851,203.029,9.557,656.319
2013,Mar,6,3/6/2013,12.066,18.45,7.54,4.18,77.049,3.923,7.876,225.041,11.727,656.259
2013,Mar,7,3/7/2013,12.339,18.39,8.05,2.36,76.27,3.883,8.053,213.514,10.157,655.495
2013,Mar,8,3/8/2013,11.986,18.28,7.69,5.88,76.918,4.107,7.758,226.096,10.878,655.981
2013,Mar,9,3/9/2013,12.011,18.05,7.53,8.84,77.028,4.093,7.856,231.406,12.008,655.873
2013,Mar,10,3/10/2013,11.996,18.3,7.98,7.22,77.107,3.696,7.821,211.895,10.639,655.737
2013,Mar,11,3/11/2013,12.08,18.79,7.26,3.22,75.027,3.787,7.454,246.985,12.968,655.883
2013,Mar,12,3/12/2013,11.736,16.9,8.04,5.28,78.075,3.068,7.794,204.384,11.446,655.724
2013,Mar,13,3/13/2013,11.507,16.989,7.856,5.111,79.158,2.994,7.82,206.928,12.012,645.058
2013,Mar,14,3/14/2013,13.3,16.7,10.6,0,75.79,1.54,8.99,168.1,0.24,749.87
2013,Mar,15,3/15/2013,9.09,16.7,7.7,6,89.24,3.05,7.38,61.14,0.8,754.15
2013,Mar,16,3/16/2013,10.99,15.4,7.4,4.4,84.62,2.3,8.41,170.42,14.66,755.48
2013,Mar,17,3/17/2013,12.09,17.6,8.6,4.8,83.83,2.88,9.28,193.88,16.68,755.45
2013,Mar,18,3/18/2013,11.95,17.3,8.1,8,81.08,3.3,8.64,228.33,19.64,755.47
2013,Mar,19,3/19/2013,12.19,19.2,7,0.4,77.58,4.1,8.06,281.25,24.19,753.59
2013,Mar,20,3/20/2013,13.72,21.1,9.3,0,71.71,4.81,8.12,316.38,27.21,751.67
2013,Mar,21,3/21/2013,12.73,19.1,7.7,0,75.96,3.53,8.28,240.21,20.66,751.98
2013,Mar,22,3/22/2013,12.58,16.8,9.2,0,76.46,2.75,8.33,184.17,15.84,753.82
2013,Mar,23,3/23/2013,13.43,21.1,8.7,0,69.25,4.68,7.44,307.92,26.48,754.2
2013,Mar,24,3/24/2013,13,19.7,7.1,0,64.58,5.1,5.42,319.75,27.5,751.61
2013,Mar,25,3/25/2013,11.77,17.9,5.3,0,67.83,3.99,5.21,237.38,20.42,753
2013,Mar,26,3/26/2013,10.09,14.7,7.1,3.6,86.33,1.63,7.82,124.58,10.72,755.62
2013,Mar,27,3/27/2013,9.77,13.9,7.7,6.2,88.21,1.64,7.88,122.08,10.5,757.7
2013,Mar,28,3/28/2013,10.17,14.1,7.3,2,85.54,1.91,7.76,142.38,12.25,758.12
2013,Mar,29,3/29/2013,10.71,15.7,7.7,1,82.25,2.32,7.68,160.92,13.84,757.32
2013,Mar,30,3/30/2013,11.57,18.1,6.9,0,78.62,2.92,7.71,179.5,15.44,756.64
2013,Mar,31,3/31/2013,12.22,18,7.7,0.2,76.33,2.69,7.8,168.54,14.5,755.46
2013,Abr,1,4/1/2013,12.7,18.9,7.7,0,73.96,3.81,7.78,244.88,21.06,755.07
2013,Abr,2,4/2/2013,12.47,18,8.8,0,77.42,3.73,8.45,232.92,20.03,754.52
2013,Abr,3,4/3/2013,12.57,18.6,7.4,0,75.21,3.51,8.03,226.38,19.47,754.74
2013,Abr,4,4/4/2013,9.57,12.8,7.8,13.8,86.88,1.37,7.46,98.96,8.51,757.12
2013,Abr,5,4/5/2013,10.73,16.6,6.8,0.2,79.33,2.41,7.1,160.92,13.84,758.35
2013,Abr,6,4/6/2013,10.83,16.9,4.5,0,78.21,2.35,6.96,170.62,14.68,757.15
2013,Abr,7,4/7/2013,10.4,15.3,6.2,1.2,82.88,1.92,7.5,123.25,10.6,756.63
2013,Abr,8,4/8/2013,12.8,19.2,7.6,0,70.5,4.44,6.96,283.42,24.38,755.33
2013,Abr,9,4/9/2013,12.78,19.1,8.8,0,67.83,4.03,6.45,252.08,21.68,753.65
2013,Abr,10,4/10/2013,12.4,19.9,6.4,0,65.38,4.88,5.18,314.17,27.02,754.21
2013,Abr,11,4/11/2013,11.9,19.3,6.2,0,66.46,4.37,5.01,265.12,22.8,754.03
2013,Abr,12,4/12/2013,12.04,19.7,5.7,0,71.38,4.39,6.53,292.67,25.17,754.75
